Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles
Thigh fly (Adductor Magnus Stretch),Stretching,Legs,Flexion,Beginner,,"Sit and spread your legs apart, reaching towards each foot.",Use a block for support.,Keep your core engaged.,Stretches the adductors.,Static.,Cool-down,Stability,Adductors,,Abductors,"Core, Lower Back"
Split Jump Squat,Plyometric,Legs,Jump,Advanced,,"Jump and switch legs in the air, landing in a squat position.",Hold weights for added resistance.,Keep your core engaged.,Builds explosive leg power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Cossack Squat,Strength,Legs,Push,Intermediate,,Squat to one side while keeping the other leg straight.,Hold weights for added resistance.,Keep your core engaged.,Builds leg strength and flexibility.,Controlled.,Main workout,Stability,Adductors,"Glutes, Hamstrings",Abductors,"Core, Lower Back"
Glute Kickback Machine,Strength,Glutes,Extension,Intermediate,Machine,"Kick the lever back, focusing on the glutes.",Adjust machine settings for variation.,Keep your core engaged.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
Lever Seated Calf Raise,Strength,Calves,Extension,Intermediate,Lever Machine,Sit and press the lever with your toes.,Adjust machine settings for variation.,Keep your core engaged.,Builds calf strength.,Controlled.,Main workout,Strength,Soleus,Gastrocnemius,Tibialis Anterior,"Core, Lower Back"
Single Leg Calf Raise,Strength,Calves,Extension,Intermediate,,Stand on one leg and press up onto your toes.,Hold weights for added resistance.,Keep your core engaged.,Builds calf strength and balance.,Controlled.,Main workout,Strength,Gastrocnemius,Soleus,Tibialis Anterior,"Core, Lower Back"
Crunch With Leg Raise,Strength,Abs,Flexion,Intermediate,,Perform a crunch while lifting your legs.,Use a medicine ball for added resistance.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back"
Alternate Lying Floor Leg Raise,Strength,Abs,Flexion,Intermediate,,Lie on your back and alternate raising your legs.,Use ankle weights for added resistance.,Keep your core engaged.,Builds lower abdominal strength.,Controlled.,Main workout,Strength,Hip Flexors,Rectus Abdominis,Glutes,"Core, Lower Back"
Chest Dips,Strength,Chest,Push,Intermediate,Dip Bars,"Dip down and push back up, focusing on the chest.",Use a weight belt for added resistance.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Hack Machine One-Leg Calf Raise,Strength,Calves,Extension,Intermediate,Hack Squat Machine,Press the platform with one leg.,Adjust machine settings for variation.,Keep your core engaged.,Builds calf strength.,Controlled.,Main workout,Strength,Gastrocnemius,Soleus,Tibialis Anterior,"Core, Lower Back"
Assisted Chest Dip,Strength,Chest,Push,Beginner,Dip Machine,Dip down and push back up with assistance.,Adjust machine settings for variation.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Donkey Calf Raise,Strength,Calves,Extension,Intermediate,,Lean forward and press up onto your toes.,Use a weight belt for added resistance.,Keep your core engaged.,Builds calf strength.,Controlled.,Main workout,Strength,Gastrocnemius,Soleus,Tibialis Anterior,"Core, Lower Back"
Lever Donkey Calf Raise,Strength,Calves,Extension,Intermediate,Lever Machine,Lean forward and press the lever with your toes.,Adjust machine settings for variation.,Keep your core engaged.,Builds calf strength.,Controlled.,Main workout,Strength,Gastrocnemius,Soleus,Tibialis Anterior,"Core, Lower Back"
Bench Press Machine Standing Calf Raise,Strength,Calves,Extension,Intermediate,Bench Press Machine,Stand and press the machine with your toes.,Adjust machine settings for variation.,Keep your core engaged.,Builds calf strength.,Controlled.,Main workout,Strength,Gastrocnemius,Soleus,Tibialis Anterior,"Core, Lower Back"
Lying Cable Fly,Strength,Chest,Fly,Intermediate,Cable Machine,"Lie down and fly the cables together, focusing on your chest.",Adjust cable height for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers"
Drop Push-Up,Strength,Chest,Push,Advanced,,Drop from a height and push back up explosively.,Use a weight vest for added resistance.,Keep your core engaged.,Builds explosive chest strength.,Explosive.,Main workout,Power,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Weighted Crunch,Strength,Abs,Flexion,Intermediate,Weight Plate,Perform a crunch while holding a weight plate.,Use different weights for variation.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Rectus Abdominis,,Erector Spinae,"Core, Lower Back"
Seated Side Crunch,Strength,Abs,Flexion,Intermediate,,"Sit and crunch to the side, focusing on the obliques.",Use a medicine ball for added resistance.,Keep your core engaged.,Builds oblique strength.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Standing Cross Leg Hamstring Stretch,Stretching,Legs,Flexion,Beginner,,Cross one leg over the other and reach down to touch your toes.,Use a block for support.,Keep your core engaged.,Stretches the hamstrings.,Static.,Cool-down,Stability,Hamstrings,Glutes,Hip Flexors,"Core, Lower Back"
Backward Jump,Plyometric,Legs,Jump,Intermediate,,"Jump backward, focusing on explosiveness.",Use different heights for variation.,Keep your core engaged.,Builds explosive leg power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Jumping jack,Cardio,Full Body,Jump,Beginner,,"Jump and spread your legs and arms out, then return to the starting position.",Increase speed for more intensity.,Keep your core engaged.,Builds cardiovascular endurance.,Dynamic.,Cardio,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Single Leg Broad Jump,Plyometric,Legs,Jump,Advanced,,Jump forward as far as possible on one leg.,Use different heights for variation.,Keep your core engaged.,Builds explosive leg power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Incline Leg Hip Raise,Strength,Abs,Flexion,Intermediate,,Lie on an incline bench and raise your legs.,Use ankle weights for added resistance.,Keep your core engaged.,Builds lower abdominal strength.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back"
Bodyweight Windmill,Strength,Abs,Rotation,Intermediate,,Stand with your legs wide and touch your opposite hand to your foot.,Use a weight plate for added resistance.,Keep your core engaged.,Builds core strength and flexibility.,Controlled.,Main workout,Stability,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Front to Side Plank,Strength,Abs,Flexion,Intermediate,,Transition from a front plank to a side plank.,Use a resistance band for added resistance.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Stability,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Tuck Crunch,Strength,Abs,Flexion,Intermediate,,Crunch and bring your knees to your chest.,Use a medicine ball for added resistance.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back"
Dumbbell Side Bend,Strength,Abs,Flexion,Intermediate,Dumbbells,Stand and bend to the side holding a dumbbell.,Use different weights for variation.,Keep your core engaged.,Builds oblique strength.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Double Leg Stretch,Strength,Abs,Flexion,Intermediate,,Lie on your back and stretch your legs out and then bring them back in.,Use a medicine ball for added resistance.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Rectus Abdominis,,Erector Spinae,"Core, Lower Back"
Spider Plank,Strength,Abs,Flexion,Intermediate,,Plank and bring your knee to your elbow.,Use a resistance band for added resistance.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Stability,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Captains Chair Leg Raise,Strength,Abs,Flexion,Intermediate,Captains Chair,Raise your legs while hanging from the captains chair.,Use ankle weights for added resistance.,Keep your core engaged.,Builds lower abdominal strength.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back"
Bench Side Bend,Strength,Abs,Flexion,Intermediate,Bench,Sit on a bench and bend to the side.,Use a medicine ball for added resistance.,Keep your core engaged.,Builds oblique strength.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Crab Twist Toe Touch,Strength,Abs,Rotation,Intermediate,,"In a crab position, twist and touch your opposite foot.",Use a weight plate for added resistance.,Keep your core engaged.,Builds core strength and flexibility.,Controlled.,Main workout,Stability,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Quarter Sit-up,Strength,Abs,Flexion,Beginner,,Lie on your back and perform a quarter sit-up.,Use a medicine ball for added resistance.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Rectus Abdominis,,Erector Spinae,"Core, Lower Back"
Weighted Sit-ups,Strength,Abs,Flexion,Intermediate,Weight Plate,Perform a sit-up while holding a weight plate.,Use different weights for variation.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Rectus Abdominis,,Erector Spinae,"Core, Lower Back"
Lying Knee Raise,Strength,Abs,Flexion,Intermediate,,Lie on your back and raise your knees to your chest.,Use ankle weights for added resistance.,Keep your core engaged.,Builds lower abdominal strength.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back"
Floor Crunch,Strength,Abs,Flexion,Beginner,,Lie on your back and perform a crunch.,Use a medicine ball for added resistance.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Rectus Abdominis,,Erector Spinae,"Core, Lower Back"
Ez Bar Upright Row,Strength,Shoulders,Pull,Intermediate,EZ Bar,"Lift the bar to your chest, keeping your elbows high.",Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,Upper Trapezius,Latissimus Dorsi,"Core, Scapular Stabilizers"
Inner Chest Press Machine,Strength,Chest,Push,Intermediate,Chest Press Machine,"Press the handles together, focusing on your inner chest.",Adjust machine settings for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Decline Dumbbell Fly,Strength,Chest,Fly,Intermediate,Dumbbells,"Lie on a decline bench and fly the dumbbells together, focusing on your chest.",Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers"
Incline Dumbbell Hammer Press,Strength,Chest,Push,Intermediate,Dumbbells,Lie on an incline bench and press the dumbbells together with a hammer grip.,Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Run in Place,Cardio,Full Body,Run,Beginner,,"Run in place, lifting your knees high.",Increase speed for more intensity.,Keep your core engaged.,Builds cardiovascular endurance.,Dynamic.,Cardio,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Jump Squats,Plyometric,Legs,Jump,Intermediate,,"Jump from a squat position, landing back in a squat.",Hold weights for added resistance.,Keep your core engaged.,Builds explosive leg power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Kneeling Cable Triceps Extension,Strength,Triceps,Extension,Intermediate,Cable Machine,"Kneel and extend the cable down, focusing on your triceps.",Adjust cable height for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Cable Rear Drive,Strength,Glutes,Extension,Intermediate,Cable Machine,"Kick the cable back, focusing on the glutes.",Adjust cable height for variation.,Keep your core engaged.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
Short Stride Run,Cardio,Legs,Run,Beginner,,"Run with short, quick strides.",Increase speed for more intensity.,Keep your core engaged.,Builds cardiovascular endurance.,Dynamic.,Cardio,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Hyperextension,Strength,Lower Back,Extension,Intermediate,Hyperextension Bench,Lie face down on the bench and lift your upper body.,Hold weights for added resistance.,Keep your core engaged.,Builds lower back strength.,Controlled.,Main workout,Strength,Erector Spinae,"Glutes, Hamstrings",Rectus Abdominis,"Core, Lower Back"
Reverse Plank,Strength,Full Body,Hold,Intermediate,,Sit on the ground and lift your body up into a plank position.,Use a weight plate for added resistance.,Keep your core engaged.,Builds full body strength.,Static.,Main workout,Stability,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
Dumbbell Lying One-Arm Rear Lateral Raise,Strength,Shoulders,Fly,Intermediate,Dumbbell,Lie on your side and raise the dumbbell to the side.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Lateral Raise Machine,Strength,Shoulders,Fly,Intermediate,Machine,"Sit and raise the handles to the side, focusing on your shoulders.",Adjust machine settings for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Scott Press,Strength,Shoulders,Push,Intermediate,Dumbbells,Press the dumbbells overhead while rotating your palms inward.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Band Pull-Apart,Strength,Shoulders,Fly,Beginner,Resistance Band,"Hold the band and pull it apart, focusing on your shoulders.",Use different resistance bands for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Bent Over Reverse Cable Fly,Strength,Shoulders,Fly,Intermediate,Cable Machine,"Bend over and fly the cables together, focusing on your shoulders.",Adjust cable height for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Bent-Over Barbell Reverse Raise,Strength,Shoulders,Fly,Intermediate,Barbell,Bend over and raise the barbell to the side.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Weighted Round Arm,Strength,Shoulders,Hold,Intermediate,Weight Plate,Hold the weight plate in front of you with arms extended.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Static.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Weight Plate Front Raise,Strength,Shoulders,Raise,Intermediate,Weight Plate,Raise the weight plate in front of you to shoulder height.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Dumbbell Upward Fly,Strength,Shoulders,Fly,Intermediate,Dumbbells,"Fly the dumbbells upward, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Two Arm Cable Lateral Raise,Strength,Shoulders,Fly,Intermediate,Cable Machine,"Raise the cables to the side, focusing on your shoulders.",Adjust cable height for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Landmine Squat to Press,Strength,Full Body,Push,Intermediate,Landmine,Squat down and press the bar overhead.,Use different weights for variation.,Keep your core engaged.,Builds full body strength.,Controlled.,Main workout,Power,Deltoids,"Triceps, Quadriceps",Latissimus Dorsi,"Core, Lower Back"
Cable Shoulder Press,Strength,Shoulders,Push,Intermediate,Cable Machine,"Press the cables overhead, focusing on your shoulders.",Adjust cable height for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Barbell Rear Delt Raise,Strength,Shoulders,Fly,Intermediate,Barbell,"Bend over and raise the barbell to the side, focusing on your rear delts.",Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Double Cable Front Raise,Strength,Shoulders,Raise,Intermediate,Cable Machine,Raise the cables in front of you to shoulder height.,Adjust cable height for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Standing Hip Extension,Strength,Glutes,Extension,Intermediate,,"Stand and extend your leg back, focusing on your glutes.",Hold weights for added resistance.,Keep your core engaged.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
Standing Smith Machine Shoulder Press,Strength,Shoulders,Push,Intermediate,Smith Machine,Press the bar overhead while standing.,Adjust machine settings for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Dumbbell W Press,Strength,Shoulders,Push,Intermediate,Dumbbells,Press the dumbbells overhead in a W shape.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Dumbbell One Arm Shoulder Press,Strength,Shoulders,Push,Intermediate,Dumbbells,Press the dumbbell overhead with one arm.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Dumbbell Scaption,Strength,Shoulders,Raise,Intermediate,Dumbbells,Raise the dumbbells in front of you at a 45-degree angle.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Barbell Clean and Press,Strength,Full Body,Push,Advanced,Barbell,Clean the barbell to your shoulders and press it overhead.,Use different weights for variation.,Keep your core engaged.,Builds full body strength and power.,Explosive.,Main workout,Power,Deltoids,"Triceps, Quadriceps",Latissimus Dorsi,"Core, Lower Back"
Dumbbell Cuban Press,Strength,Shoulders,Push,Intermediate,Dumbbells,Raise the dumbbells to your shoulders and press overhead.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Dumbbell Cuban External Rotation,Strength,Shoulders,Rotation,Intermediate,Dumbbells,Rotate the dumbbells externally while keeping your elbows at 90 degrees.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,"Infraspinatus, Teres Minor",Deltoids,Subscapularis,"Core, Scapular Stabilizers"
Standing Alternating Dumbbell Shoulder Press,Strength,Shoulders,Push,Intermediate,Dumbbells,Press the dumbbells overhead alternately.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Narrow Grip Wall Push-Up,Strength,Chest,Push,Beginner,,Perform a push-up against the wall with a narrow grip.,Increase speed for more intensity.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers"
Cable External Shoulder Rotation,Strength,Shoulders,Rotation,Intermediate,Cable Machine,"Rotate the cable externally, focusing on your shoulder.",Adjust cable height for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Stability,"Infraspinatus, Teres Minor",Deltoids,Subscapularis,"Core, Scapular Stabilizers"
Cable Internal Shoulder Rotation,Strength,Shoulders,Rotation,Intermediate,Cable Machine,"Rotate the cable internally, focusing on your shoulder.",Adjust cable height for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Stability,Subscapularis,Deltoids,"Infraspinatus, Teres Minor","Core, Scapular Stabilizers"
Across Chest Shoulder Stretch,Stretching,Shoulders,Flexion,Beginner,,Pull one arm across your chest and hold it with the other arm.,Use a block for support.,Keep your core engaged.,Stretches the shoulders.,Static.,Cool-down,Stability,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Standing Reach Up Back rotation Stretch,Stretching,Shoulders,Rotation,Beginner,,Stand and reach one arm up and behind your back while rotating your torso.,Use a block for support.,Keep your core engaged.,Stretches the shoulders and back.,Static.,Cool-down,Stability,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Shoulder Stretch Behind Back,Stretching,Shoulders,Flexion,Beginner,,Clasp your hands behind your back and lift them up.,Use a block for support.,Keep your core engaged.,Stretches the shoulders.,Static.,Cool-down,Stability,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Incline Dumbbell Side Lateral Raise,Strength,Shoulders,Fly,Intermediate,Dumbbells,Lie on an incline bench and raise the dumbbells to the side.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Body Ups,Strength,Full Body,Push,Intermediate,,Transition from a plank to a push-up position repeatedly.,Increase speed for more intensity.,Keep your core engaged.,Builds full body strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers"
Bench Glute Flutter Kicks,Strength,Glutes,Extension,Intermediate,Bench,Lie on a bench and kick your legs like a flutter kick.,Use ankle weights for added resistance.,Keep your core engaged.,Builds glute strength.,Controlled.,Main workout,Stability,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
Dumbbell Side Lying Rear Delt Raise,Strength,Shoulders,Fly,Intermediate,Dumbbells,"Lie on your side and raise the dumbbell to the side, focusing on your rear delts.",Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Dumbbell Lateral Step Up,Strength,Legs,Push,Intermediate,Dumbbells,Step up onto a bench with a dumbbell in each hand.,Use different weights for variation.,Keep your core engaged.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Smith Machine Bent Over Row,Strength,Back,Pull,Intermediate,Smith Machine,Bend over and row the bar to your chest.,Adjust machine settings for variation.,Keep your core engaged.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back"
Incline Reverse Grip Dumbbell Row,Strength,Back,Pull,Intermediate,Dumbbells,Lie on an incline bench and row the dumbbells with a reverse grip.,Use different weights for variation.,Keep your core engaged.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back"
Lateral Step-up,Strength,Legs,Push,Intermediate,,Step up onto a bench from the side.,Hold weights for added resistance.,Keep your core engaged.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Step Up + Opposite Elbow to Knee Twist,Strength,Legs,Push,Intermediate,,Step up onto a bench and twist your elbow to your opposite knee.,Hold weights for added resistance.,Keep your core engaged.,Builds leg strength and core stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Band Assisted Sprinter Run,Strength,Full Body,Run,Intermediate,Resistance Band,Run in place with a resistance band.,Increase speed for more intensity.,Keep your core engaged.,Builds cardiovascular endurance.,Dynamic.,Cardio,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Barbell Step-Up,Strength,Legs,Push,Intermediate,Barbell,Step up onto a bench with a barbell on your shoulders.,Use different weights for variation.,Keep your core engaged.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Power Clean,Strength,Full Body,Pull,Advanced,Barbell,Clean the barbell to your shoulders.,Use different weights for variation.,Keep your core engaged.,Builds full body strength and power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Barbell Pullover,Strength,Chest,Pull,Intermediate,Barbell,Lie on a bench and pull the barbell over your head.,Use different weights for variation.,Keep your core engaged.,Builds chest and back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,Pectorals,,"Core, Scapular Stabilizers"
Cable Pullover,Strength,Chest,Pull,Intermediate,Cable Machine,Stand and pull the cable over your head.,Adjust cable height for variation.,Keep your core engaged.,Builds chest and back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,Pectorals,,"Core, Scapular Stabilizers"
Weighted Pull-up,Strength,Back,Pull,Advanced,Pull-Up Bar,Perform a pull-up with a weight belt.,Use different weights for variation.,Keep your core engaged.,Builds back and bicep strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Reverse grip Pull-up,Strength,Back,Pull,Intermediate,Pull-Up Bar,Perform a pull-up with a reverse grip.,Use different grips for variation.,Keep your core engaged.,Builds back and bicep strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Close Grip Chin Up,Strength,Back,Pull,Intermediate,Pull-Up Bar,Perform a chin-up with a close grip.,Use different grips for variation.,Keep your core engaged.,Builds back and bicep strength.,Controlled.,Main workout,Strength,"Biceps, Latissimus Dorsi",Forearms,Triceps,"Core, Scapular Stabilizers"
Assisted Pull-up,Strength,Back,Pull,Beginner,Pull-Up Machine,Perform a pull-up with assistance.,Adjust machine settings for variation.,Keep your core engaged.,Builds back and bicep strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Lying Cable Reverse Fly,Strength,Shoulders,Fly,Intermediate,Cable Machine,"Lie face down and fly the cables together, focusing on your rear delts.",Adjust cable height for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Floor Hyperextension,Strength,Lower Back,Extension,Beginner,,Lie face down and lift your upper body off the floor.,Hold weights for added resistance.,Keep your core engaged.,Builds lower back strength.,Controlled.,Main workout,Strength,Erector Spinae,"Glutes, Hamstrings",Rectus Abdominis,"Core, Lower Back"
Flat Bench Hyperextension,Strength,Lower Back,Extension,Intermediate,Flat Bench,Lie face down on a bench and lift your upper body.,Hold weights for added resistance.,Keep your core engaged.,Builds lower back strength.,Controlled.,Main workout,Strength,Erector Spinae,"Glutes, Hamstrings",Rectus Abdominis,"Core, Lower Back"
Lying Glute Stretch,Stretching,Glutes,Flexion,Beginner,,Lie on your back and pull one knee to your chest while keeping the other leg straight.,Use a block for support.,Keep your core engaged.,Stretches the glutes.,Static.,Cool-down,Stability,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
